group,name,count
m0,BIANCA,98
m0,BRUCE,3
m0,CAMERON,78
m0,CHASTITY,8
m0,JOEY,37
m0,KAT,155
m0,MANDELLA,25
m0,MICHAEL,62
m0,MISS PERKY,12
m0,PATRICK,140
m0,SHARON,9
m0,WALTER,42
m1,ALONSO,7
m1,AROJAZ,13
m1,BEATRIX,12
m1,BOBADILLA,7
m1,COLUMBUS,118
m1,FERNANDO,10
m1,ISABEL,19
m1,MARCHENA,25
m1,MENDEZ,6
m1,MOXICA,7
m1,PINZON,9
m1,SAILOR,4
m1,SANCHEZ,25
m1,UTAPAN,11
m10,ALMA,13
m10,CHICK,6
m10,HAND,7
m10,JACK,58
m10,JILL,45
m10,LARIVIERE,45
m10,LILLIAN,12
m10,LUGENE,4
m10,MARGIE,46
m10,MEL GORDON,8
m10,MRS. GORDON,5
m10,NICK,14
m10,POP,26
m10,ROLFE,39
m10,TWOMBLEY,19
m10,WADE,280
m100,AL,304
m100,BURR,11
m100,COLIN,7
m100,DIETER,20
m100,FINNEGAN,37
m100,GRUNER,4
m100,JOE,472
m100,LEADER,13
m100,OUTSIDE ,5
m100,RECEPTIONIST.,4
m100,RENE,149
m100,RYUJI,7
m100,TECH 2,11
m100,TECH 3,14
m100,WAITER,5
m100,WOMAN,6
m101,BARBARA,15
m101,BILL ROBERTSON'S VOICE,4
m101,CHARLIE PHILLIPS,10
m101,DEBBIE DELUCA,11
m101,DEBORAH,4
m101,DON HEWITT,16
m101,ERIC KLUSTER,6
m101,FBI AGENT #2,8
m101,FELLING,3
m101,HELEN CAPERELLI,11
m101,JIM COOPER,5
m101,JIM COOPER'S VOICE,7
m101,LIANE,26
m101,LIANE'S VOICE,4
m101,LOWELL,232
m101,LOWELL'S VOICE,10
m101,MICHAEL MOORE,3
m101,MIKE WALLACE,48
m101,MOTLEY,4
m101,RICHARD SCRUGGS,17
m101,SHARON,16
m101,THE HOTEL MANAGER'S VOICE,5
m101,THE SHEIKH,5
m101,THOMAS SANDEFUR,8
m101,TOBACCO LAWYER,4
m101,WIGAND,156
m101,WIGAND'S VOICE,3
m102,BONNIE,3
m102,DOYLE,21
m102,GANGSTER,4
m102,JOE,7
m102,JUDGE,4
m102,KENNETH,32
m102,LAWYER,3
m102,MARYLIN,200
m102,MILES,253
m102,PATRICIA,10
m102,RAMONA,18
m102,REX,26
m102,RUTH,33
m102,SARAH,33
m102,VOICE,4
m102,WITNESS,3
m102,WOMAN,5
m102,WRIGLEY,21
m103,ANDREWS,103
m103,BOY,5
m103,CAPTAIN,6
m103,DANKER,4
m103,DRIVER,13
m103,ELLIE,257
m103,ELLIE'S VOICE,5
m103,FIRST PILOT,3
m103,FIRST POLICEMAN,4
m103,GORDON,30
m103,GUARD,4
m103,KING,13
m103,LOVINGTON,3
m103,MAN,9
m103,MARY,4
m103,OLD LADY,3
m103,OPERATOR,4
m103,OWNER,9
m103,PETER,295
m103,PETER'S VOICE,11
m103,SECOND PILOT,3
m103,SECRETARY,10
m103,SHAPELEY,37
m103,WESTLEY,3
m103,WIFE,24
m104,AL,8
m104,ANDREWS,15
m104,BANISTER,10
m104,BILL,51
m104,CORONER,4
m104,DYMOND,8
m104,FERRIE,45
m104,FINCK,7
m104,FRANK,7
m104,GARRISON,4
m104,GOLDBERG,3
m104,JASPER,7
m104,JEAN HILL,14
m104,JIM,277
m104,JOHNSON,6
m104,JUDGE HAGGERTY,4
m104,LAWYER,5
m104,LIZ,38
m104,LONG,6
m104,LOU,61
m104,MALE VOICE,7
m104,MAN,3
m104,MARTIN,25
m104,MERCER,5
m104,MILLER,13
m104,MOBSTER,5
m104,NUMA,8
m104,O'KEEFE,12
m104,OFFICIAL,5
m104,RUBY,6
m104,SHAW,26
m104,SUSIE,22
m104,VIRGINIA,6
m104,X,17
m105,AMY,4
m105,ANITA,8
m105,BEAUMONT,24
m105,DARGUS,35
m105,JACKIE,337
m105,LOUIS,120
m105,MAX,253
m105,MELANIE,86
m105,NICOLET,68
m105,ORDELL,261
m105,PUBLIC DEFENDER,4
m105,SHERONDA,5
m105,WINSTON,9
m106,DELLA,6
m106,DOCTOR,9
m106,DOORMAN,3
m106,DOUG,5
m106,ELI,4
m106,ELSA,5
m106,FRANK,13
m106,GABE,6
m106,GEARY,13
m106,GEORGE,8
m106,JACOB,344
m106,JERRY,4
m106,JEZZIE,146
m106,LEADER,6
m106,LOUIS,29
m106,MICHAEL,31
m106,MRS. CARMICHAEL,5
m106,NURSE,8
m106,PAUL,33
m106,RECEPTIONIST,7
m106,RESIDENT,5
m106,ROD,11
m106,SARAH,9
m106,STERN,18
m106,VOICE,14
m106,WOMAN,7
m107,AZRAEL,9
m107,BOEMAN,53
m107,BRODSKI,42
m107,DALLAS,8
m107,DELONGPRE,75
m107,FAT LOU,5
m107,JANESSA,31
m107,KAYEM 14,29
m107,KICKER,10
m107,KKINSA,8
m107,PEREZ,5
m107,RIZZO,105
m107,THORGAN,55
m107,YLLO,69
m108,BRODY,150
m108,CASSIDY,7
m108,CHARLIE,6
m108,DENHERDER,8
m108,ELLEN,34
m108,ELLEN'S VOICE,3
m108,HENDRICKS,8
m108,HOOPER,90
m108,MEADOWS,4
m108,MICHAEL,6
m108,QUINT,68
m108,VAUGHN,29
m109,BLEEKER,66
m109,BLEEKER'S MOM,6
m109,BREN,30
m109,GERTA,3
m109,GIRL LAB PARTNER,4
m109,GUY LAB PARTNER,5
m109,JUNO,279
m109,LEAH,51
m109,MAC,36
m109,MARK,107
m109,PUNK RECEPTIONIST,3
m109,ROLLO,5
m109,SUCHIN,5
m109,ULTRASOUND TECH,6
m109,VANESSA,60
m109,VIJAY,7
m11,ALICE,31
m11,CERALLOS,4
m11,CHIEF MECHANIC,4
m11,COL. CARLTON,12
m11,DEAN,4
m11,DOHERTY,4
m11,GENERAL NORTHWOOD,12
m11,GIBBS,17
m11,IRAQI SOLDIER,4
m11,KC135 PILOT,4
m11,KCLO PILOT,4
m11,KORSHUNOV,56
m11,LEE,4
m11,MAJOR CALDWELL,7
m11,MARSHALL,96
m11,MITCHELL,10
m11,ROSE,40
m11,SECRET SERVICE AGENT,4
m11,SECRETARY,5
m11,SHEPHERD,19
m11,SWITCHBOARD,6
m11,TOWER,5
m11,V.P. CHANDLER,16
m110,ADELE,54
m110,ATTENDANT,6
m110,BRIAN,77
m110,CAROL,5
m110,CARRIE,87
m110,EARLY,80
m110,PAROLE OFFICER,11
m110,POLICE OFFICER,7
m111,BLACK NURSE,10
m111,CASPER,103
m111,DARCY,24
m111,FIDGET,7
m111,GIRL,8
m111,HAROLD,12
m111,HOODLUM,5
m111,JENNIE,59
m111,KOREAN STORE OWNER,4
m111,LINDA,20
m111,MISHA,13
m111,MOM,7
m111,PAUL,11
m111,RUBY,52
m111,STEVEN,3
m111,SUSAN,15
m111,TAMARA,4
m111,TAXI DRIVER,18
m111,TELLY,150
m111,WHITE NURSE,7
m112,ANDY,67
m112,CALLER,50
m112,DAVID,15
m112,DOCTOR FULTON,13
m112,ERICA,20
m112,FRANK,89
m112,GIRL,3
m112,JEREMY,12
m112,KATHY,167
m112,NOLAN,13
m112,PETER,251
m112,WOMAN,4
m112,WOMAN'S VOICE,7
m112,YURILIVICH,4
m113,COLWYN,132
m113,CYCLOPS,16
m113,ERGO,59
m113,LYSSA,36
m113,QUEEN,11
m113,ROWAN,5
m113,SEER,6
m113,TITCH,13
m113,TORQUIL,56
m113,TUROLD,20
m113,VELLA,9
m113,VOICE OF THE BEAST,5
m113,WIDOW,21
m113,YNYR,92
m114,COP,4
m114,JENNY,8
m114,LEON,83
m114,MAN,6
m114,MATHILDA,98
m114,RECEPTIONIST,6
m114,RINALDI,11
m114,STANSFIELD,3
m114,THE BOSS,5
m114,TONY,28
m115,ADELLE,25
m115,DALLY,6
m115,DENNY,5
m115,DR. RAY,4
m115,DR. ROYCE,8
m115,ELLEN,39
m115,FATHER,10
m115,GERALD,5
m115,HANSEN,10
m115,ISAAC,10
m115,JOSELLE,5
m115,KRIS,38
m115,MAURICE,154
m115,MICHELLE,5
m115,MR. CALDWELL,6
m115,OLD WOMAN,6
m115,PRIEST,5
m115,STEPHANIE,8
m115,TANDY,10
m116,BEN,112
m116,BRAD,4
m116,CONVENTIONEER,6
m116,SERA,114
m116,WAITRESS,10
m116,YURI,15
m117,ADVISOR,4
m117,BROOKE,23
m117,CHUTNEY,16
m117,DEWEY,3
m117,DONOVAN,33
m117,DORKY DAVID,10
m117,ELLE,212
m117,EMMETT,58
m117,ENRIQUE,8
m117,FUZZY 2L,4
m117,GUARD,3
m117,MARGOT,27
m117,MRS. WINDHAM VANDERMARK,7
m117,PAULETTE,22
m117,PROFESSOR DONOVAN,11
m117,PROFESSOR STROMWELL,5
m117,SARAH,15
m117,SERENA,22
m117,WARNER,35
m118,1ST DEMON,6
m118,2ND DEMON,7
m118,BARON,54
m118,DRAGON,12
m118,GUMP,184
m118,JACK,310
m118,JENNY,22
m118,JIMMY,13
m118,LILI,100
m118,OGG,9
m118,OONA,25
m118,SCREWBALL,29
m118,THURGIS,6
m119,ADAM,21
m119,ALYSSA,83
m119,BOB,11
m119,BRYAN,22
m119,COLLEEN,27
m119,COREY,4
m119,GEORGE,240
m119,JOSH,8
m119,KURT,22
m119,NURSE,8
m119,PETER,33
m119,ROBIN,141
m119,RYAN,23
m119,SAM,167
m12,COMMISSIONER,9
m12,DUNN,8
m12,ELAINE,71
m12,JIMMY,7
m12,JOE,6
m12,JOHN,5
m12,KRUGER,11
m12,MARY,10
m12,OVEUR,25
m12,PORTER,4
m12,RECEPTIONIST,5
m12,ROK,9
m12,RUMACK,6
m12,SIMON,27
m12,STELLA,16
m12,TED,68
m12,WIFE,4
m120,ABERNATHY,7
m120,BISCUIT,5
m120,BLOCKER,8
m120,BOUNCER,5
m120,CLAUDE,217
m120,COOKIE,7
m120,DAISY,8
m120,DILLARD,16
m120,DOCTOR,3
m120,GOLDMOUTH,5
m120,HOPPIN' BOB,10
m120,JAKE,7
m120,JANGLE LEG,4
m120,LEON,11
m120,MAE ROSE,3
m120,MAMA GIBSON,7
m120,NURSE HUMPHRIES,4
m120,PIKE,18
m120,POKER FACE,4
m120,RADIO,4
m120,RAY,242
m120,SLIM,3
m120,SPANKY,7
m120,SYLVIA,7
m120,WILKINS,21
m120,WILLIE,14
m120,YVETTE,8
m121,ADRIAN,31
m121,ANGEL,21
m121,BEEFY,29
m121,CASSIUS,15
m121,CHRISTA,5
m121,DAD,36
m121,DAN,3
m121,GATEKEEPER,10
m121,JIMMY THE DEMON,10
m121,JOHN,27
m121,KATHY LEE,4
m121,LUCIFER,9
m121,NICKY,151
m121,PETER,15
m121,REGIS,5
m121,STREET VENDOR,4
m121,STUDENT,6
m121,TODD,19
m121,VALERIE,39
m122,BILLY,4
m122,BOX,16
m122,DOC,7
m122,FRANCIS,28
m122,HOLLY,4
m122,JESSICA,127
m122,LOGAN,184
m122,MAN,4
m122,MARY,4
m122,OLD MAN,40
m122,RECEPTIONIST,5
m122,VOICE,4
m122,WOMAN,3
m123,AL,23
m123,ALICE,43
m123,ANDY,4
m123,ARNIE,4
m123,BILL,23
m123,CAPTAIN HENDERSON,12
m123,CLAIRE,14
m123,DR. ROGOFF,5
m123,DRIVER,4
m123,ED,16
m123,FRED,59
m123,GUARD,6
m123,JOHNNY MACK,4
m123,MARIAN,4
m123,MR. EDDY,34
m123,MYSTERY MAN,5
m123,PETE,125
m123,RAQUEL,5
m123,RENEE,37
m123,SHEILA,26
m123,V,13
m123,VOICE,3
m123,WARDEN,21
m124,ASSISTANT SECRETARY,4
m124,BARNARD,91
m124,CHANG,76
m124,CLERK,5
m124,CONWAY,205
m124,GEORGE,109
m124,GLORIA,11
m124,HIGH LAMA,10
m124,LAMA,4
m124,LOVETT,96
m124,MARIA,14
m124,SONDRA,29
m125,COWAN,32
m125,DEE,10
m125,INS LEADER,5
m125,JAY,90
m125,JEEBS,6
m125,KAY,162
m125,LAUREL,29
m125,LEONARD,7
m125,MIKEY,5
m125,PRESIDENT,3
m125,WALLACE,6
m125,YAZ,9
m125,ZED,36
m125,ZED'S VOICE,7
m126,AGATHA,28
m126,ANDERTON,234
m126,ANDERTON'S VOICE,3
m126,BURGESS,69
m126,CROW,16
m126,CUSTOMER,3
m126,DR. EDDIE,21
m126,FLETCHER,31
m126,GIDEON,17
m126,HOWARD,7
m126,IRIS,35
m126,JAD,19
m126,KNOTT,5
m126,LARA,38
m126,RUFUS,19
m126,SARAH,6
m126,SEAN,17
m126,SECRETARY,6
m126,WALLY,15
m126,WITWER,94
m127,ARTHUR,4
m127,AUDREY,4
m127,BARTENDER,3
m127,BELLMAN,17
m127,BIANCA,12
m127,BOBBY,312
m127,CHLOE,14
m127,CYNTHIA,14
m127,DOORMAN,16
m127,FLIGHT ATTENDANT,10
m127,HISPANIC KID,4
m127,HORNY GUY,6
m127,HORRACE,71
m127,JESS,30
m127,JIMMY,26
m127,LEO,4
m127,MAX,49
m127,RICKY,250
m127,RUIZ,29
m127,SCREECH,3
m127,WELSHMAN,27
m127,WENDY,5
m128,ARCHIE,49
m128,BEMBRY,53
m128,BENJAMIN,4
m128,BENJAMIN 2X,4
m128,BETTY,52
m128,BROTHER EARL,11
m128,CHAPLAIN GILL,8
m128,DR. PAYSON,5
m128,ELIJAH,5
m128,GREGORY,4
m128,HONEY,6
m128,JUDGE,3
m128,LAURA,7
m128,LOUISE,5
m128,MALCOLM,254
m128,MALCOLM'S VOICE,5
m128,MISS DUNNE,6
m128,MRS. SWERLIN,4
m128,PLAINCLOTHES,4
m128,RUDY,7
m128,SAMMY,4
m128,SHORTY,20
m128,SIDNEY,9
m128,SISTER LUCILLE,3
m128,SOPHIA,10
m128,VOICE OF MALCOLM X,4
m129,CREASY,208
m129,CREASY'S VOICE,3
m129,CUSTOMS,4
m129,DANIEL,9
m129,GUARDIAN TWO,9
m129,JORDAN,13
m129,JORGE,15
m129,LISA,44
m129,MANZANO,42
m129,PINTA,82
m129,RAYBURN,47
m129,REINA,5
m129,ROSANNA,27
m129,SAMUEL,31
m129,SISTER ANNA,4
m129,TAZINARI,13
m129,VOICE,5
m13,BERNICE,10
m13,CAREY,4
m13,DR. RUMACK,24
m13,ELAINE,50
m13,GIRL,5
m13,GUNDERSON,5
m13,JACK,5
m13,JOEY,5
m13,KRAMER,5
m13,LISA,3
m13,MILTON,11
m13,MRS. HAMMEN,3
m13,MRS. KRAMER,5
m13,MURDOCK,12
m13,OVEUR,15
m13,RANDY,17
m13,SHIRLEY,4
m13,SISTER ANGELINA,3
m13,SOLDIER,5
m13,STRIKER,45
m130,ANDY,5
m130,ANGIE,33
m130,BARTENDER,3
m130,CATHERINE,28
m130,CLARA,47
m130,DR. KEEGAN,12
m130,FIRST IRISH WOMAN,4
m130,GIRL,4
m130,JOE,5
m130,LEO,4
m130,MARTY,142
m130,MRS. FUSARI,7
m130,MRS. PILLETTI,92
m130,RALPH,12
m130,SECOND IRISH WOMAN,5
m130,THOMAS,37
m130,VIRGINIA,22
m131,DAGO RED,8
m131,DUKE,94
m131,FRANK,22
m131,GENERAL HAMMOND,15
m131,HAWKEYE,221
m131,HENRY,50
m131,HOJON,11
m131,HOT LIPS,23
m131,KOREAN DOCTOR,4
m131,LIEUTENANT DISH,27
m131,LIEUTENANT SCORCH,3
m131,ME LAY,16
m131,MEDICAL CORPS SERGEANT,3
m131,PAINLESS,17
m131,RADAR,18
m131,SECOND MEDICAL CORPS SERGEANT,5
m131,SPEARCHUCKER,14
m131,TRAPPER,79
m131,UGLY JOHN,3
m132,ANN,131
m132,BEANY,27
m132,BERT,13
m132,BERT'S WIFE,4
m132,COLONEL,33
m132,CONNELL,92
m132,D. B.,33
m132,EDDIE,3
m132,JOE,3
m132,JOHN,101
m132,MAYOR,9
m132,MIKE,12
m132,MOTHER,12
m132,MRS. MITCHELL,9
m132,POP,5
m132,SECRETARY,7
m132,SOURPUSS,9
m132,TALL CHAP,9
m133,BAFFERT,27
m133,CLARENCE,7
m133,DAVE,9
m133,EARL,6
m133,JAIL GUARD #2,5
m133,KIMURA,11
m133,KORDA,37
m133,MCCALL,92
m133,OFFICER #1,3
m133,RAYMOND,8
m133,RONNIE,50
m133,ROPER,234
m133,SOLIS,24
