Time,Counter,Text
1,1,граммов счастья
1,2,adastra
1,3,aloha
1,1,ansys
1,1,asus
1,1,ball
1,1,banchamek
1,1,beats
1,1,bel age
1,1,bellator
1,1,cisco сушильная машина
1,1,computer
1,3,contemporary
1,1,cosmo
1,1,dolls dance studio
1,1,don't worry be
1,3,don't worry be happy
1,1,dota 2
1,2,e3
1,2,e34
1,1,epidemic
1,1,est
1,1,event
1,1,exbid project
1,1,facebook
1,1,garmin
1,2,good
1,2,google
1,1,google translate
1,1,google voice в действии
1,1,google умнее тебя
1,1,happy
1,2,hello
1,1,hero
1,1,homini
1,1,homo
1,2,homo homini
1,1,homo homini lupus est
1,1,huawei
1,1,i love
1,2,illuminate
1,1,ipad
1,3,iphone
1,1,iso
1,1,kawasaki
1,1,lebedev
1,1,lebedev lebedev
1,2,lebedev lebedev lebedev
1,1,little
1,2,ln
1,1,lol lol lol
1,1,low
1,4,lucky
1,1,lupus
1,1,lupus est
1,1,mai tai
1,2,mail
1,1,minecraft
1,1,mom
1,1,money
1,1,motherfucking game
1,1,neo
1,3,nintendo
1,1,nostalgie
1,1,ok
1,4,ok google
1,1,open
1,2,open server
1,4,oracle
1,1,pantera 5
1,1,party hard
1,1,project представляет
1,1,pump
1,2,putana
1,3,rgsu.ru
1,1,run
1,1,s7
1,1,scala ru
1,1,share
1,1,sirenia
1,1,skype приду
1,2,stetson пенанг
1,2,suek
1,1,table
1,1,tutu.ru
1,2,twitter
1,1,ubuntu
1,1,vladivostok
1,1,warframe
1,2,welcome
1,1,wingate
1,3,wow
1,1,yahoo
1,3,zopo
1,3,а
1,1,а августе
1,1,а большую стирку повелеваю произнести мое имя
1,1,а вот она идет
1,1,а где
1,1,а где ответ
1,1,а где ответы
1,1,а где ты
1,1,а голове себе постучи
1,1,а мы можем получить ответы на интересующие нас вопросы
1,1,а почему
1,1,а почему ты не интерпретируешь надо же много говорить чтобы ты интерпретировал
1,1,а саша по шоссе
1,1,а сколько на
1,1,а спайс
1,1,а там мужик носки
1,1,а там мужик носки стирает
1,1,а там мужик носки стирать
1,1,а ты знаешь другие игры
1,1,а я хочу огромный жирный
1,1,а я хочу хочу опять по крышам бегать голубей гонять
1,1,а я я
1,3,августин
1,1,авто
1,1,автобат
1,1,ага
1,2,ай нанэ нанэ
1,2,ака
1,1,акапулько ай-яй-яй-яй
1,1,аккорды
1,3,алекс
1,13,александр
1,1,александр устьянцев
1,3,александров
1,1,александров дмитрий
1,1,александров дмитрий танцуй
1,1,александров дмитрий танцую
1,1,александров дмитрий танцуют
1,1,алексей
1,1,алексей бобл
1,3,алена
1,1,алена и полина
1,3,алеша
1,2,алеша алеша
1,2,алеша алеша алеша
1,2,али
1,6,алиса
1,1,аллах акбар
1,1,аллах велик
1,6,алло
1,1,альта что снимаешь
1,2,америка
1,1,амиров
1,1,амфетамин
1,3,ангел
1,2,ангелы
1,8,андрей
1,2,андрей тварь
1,3,анечка
1,1,антинаучная хрень
1,1,антошка антошка пойдем копать картошку антошка антошка пойдем копать картошку
1,4,анфиса
1,1,анфису
1,2,аня
1,1,аня и антон
1,1,аня передает всем привет
1,1,арзамас
1,2,арзамас арзамас
1,3,арзамас арзамас арзамас
1,1,арзамас столицы мира всем привет из москвы
1,2,арина
1,1,арсен
1,5,арсений
1,2,арсений арсений
1,1,арсений за
1,1,арсений за прекрасно
1,1,арсений за прекрасную
1,1,арсений за прекрасный
1,1,арсений запомни
1,1,артефакты современности которые возможно достаются будущим поколением
1,1,артём качок
1,3,асахи
1,3,ассенизатор
1,3,ассертивность
1,1,аська
1,1,аудиотехника
1,1,ах россия
1,1,ах тыж хитрая
1,1,ах тыж хитрая лиса
1,1,ах тыж хитрый лосось
1,2,ахахахаха
1,1,ахахахахахаха
1,1,ахтырский
1,3,аэлита
1,3,б****
1,1,б******* рот матюха течение
1,4,ба
1,1,баба
1,3,баклажан
1,1,бам бам
1,1,банчамек
1,1,барахолка
1,1,баста
1,1,бах
1,1,баян
1,2,бег
1,2,бегите глупцы
1,1,безумно весело
1,1,берем все нипочем
1,1,биг мак
1,1,билан
1,1,битва
1,4,бицуха
1,1,бла бла
1,1,бла-бла-бла
1,1,благодарю
1,1,боб
1,1,боишься
1,5,болт
1,1,болтать
1,1,больше информации
1,1,бомба взрыв чеченцы
1,1,бонус код
1,1,братишка я тебе покушать принёс
1,1,братья мои
1,1,бубль гум
1,6,бугагашенька
1,1,буде
1,1,будем
1,3,будет
1,1,будет хорошо
1,1,будет через
1,2,бум
1,1,бум бум
1,1,бум таки таки бум
1,1,бум таки таки бум бам бам
1,1,бум тики так
1,1,бум тики таки
1,1,бурундуки
1,1,бутан
1,1,буча
1,1,был я весь как запущенный сад
1,1,было
1,1,было запущено
1,1,было так
1,3,было такое
1,1,быстрее медленнее
1,6,быстро
1,1,быстро быстро
1,1,быстро мтс
1,1,быстро очень
1,1,быстро очень очень
1,1,быстро очень очень очень быстро
1,2,быстро очень очень очень быстро закончились
1,3,в
1,1,в будущее
1,1,в будущем
1,2,в глаза
1,2,в глаза посмотри
1,1,в лесу родилась
1,2,в метро
1,1,в понедельник
1,1,в реку рак
1,1,в реку рак за
1,1,в центре
1,1,в центре вселенной
1,1,в чем прикол
1,2,в чем смысл
1,4,в чем смысл жизни
1,1,в чем смысл инсталляции
1,1,в чем смысл инсталляция
1,1,в этом музее очень хорошо
1,3,ваз
1,1,вам страшно
1,1,века
1,1,великолепно
1,3,вениамин
1,1,веник
1,1,верните деньги обратно
1,1,вернулись
1,1,вероника очень хочет похудеть
1,1,верошпирон
1,3,веселая
1,1,веселое
1,1,вести
1,1,ветер солнце гора туча
1,1,виватао
1,1,видеть
1,3,вика
1,1,винни пух
1,3,включите свет
1,1,вконтакте
1,1,влад кидалово
1,2,владивосток
1,1,внятно сказал
1,1,во
1,1,во поле березка стояла во поле кудрявая стояла
1,2,во сколько
1,2,во сколько нам
1,4,во сколько нам открытий
1,2,во сколько нам открытий чудных
1,1,во сколько нам открытий чудных готовит
1,1,во сколько нам открытий чудных готовит просвещенья
1,1,водевиль
1,1,водитель отсюда
1,1,водитель работа
1,2,водка
1,1,водка водка водка водка
1,1,война боль
1,2,волшебно
1,3,волшебный
1,1,воображение
1,1,вопросы
1,2,восторг
1,1,вот
1,2,вот и поговорили
1,2,вот так
1,1,вот это вечеринка
1,6,все
1,2,все будет
1,2,все будет хорошо
1,1,все все говори говори
1,1,все на
1,3,все на вечеринку
1,3,все по полной
1,1,все пока
1,2,все понимаешь
1,1,все понимаю
1,1,все свободны
1,1,все ужасно
1,1,все хорошо
1,1,все что я говорю показывает на экране
1,1,вселенной
1,2,всем
1,1,всем вечера
1,1,всем привет
1,1,всем привет с вами сайт россия
1,1,всем привет соседи россии
1,1,всем спасибо
1,2,всем спасибо все свободны
1,1,всем спать
1,1,всякие нас тюлькина
1,1,вы
1,2,вы все
1,2,вы все умрете
1,1,вы находите
1,1,вы находитесь
1,2,вы находитесь в центре вселенной
1,1,выехал уже
1,1,выиграла
1,1,выставка
1,2,выставку
1,1,выходи за меня
1,1,выходила на берег катюша на высокий берег на крутой выходила песню заводила про того которого любила про того чьи письма берегла
1,2,гадюки
1,6,гадюкино
1,2,галактика
1,2,галерея
1,3,гарри поттер
1,2,гаспарян
1,1,гашиш курю по кайфу мне
1,2,где
1,1,где здесь выход
1,1,где мама
1,1,где мы будем через месяц
1,1,где нужно
1,2,где нужно говорить
1,1,где ответ
1,1,где сердце не найдет твое приют
1,2,где я
1,1,гдетоедет п***
1,1,гемабанк
1,1,гениально
1,1,героям сала
1,1,гималиев ринат огнемет зинович
1,2,глаза
1,2,глаза выколупывать
1,4,глазовыколупывательница
1,1,глеб пришел на выставку смотреть
1,2,глобализация
1,1,говори
1,1,говори говори говори говори говори говори говори говори
1,1,говори говори говорю говори кому говорят говори
1,1,говори говорю говорю
1,1,говорил
1,1,говорите
1,1,говорите тогда будет себе какой-то
1,4,говорить
1,1,говорить микрофон
1,1,говоришь
1,1,говорю
1,4,год
1,1,год к нам
1,2,голубой
1,1,голы
1,3,горизонт событий
1,1,город машины
1,1,город обоянь
1,2,городецкая
1,2,гороскоп на завтра
1,2,горький
1,2,горький парк
1,1,горько
1,1,готовит
1,2,грек
1,1,грека руку
1,1,грека через
1,1,грека через реку
1,1,греку цап
1,1,гризеофульвин
1,1,гром
1,2,громко
1,1,громко плачет
1,1,громче
1,2,громче сказать
1,1,грубым дается радость нежным дается печаль мне ничего не надо мне ничего не жаль жаль мне себя немного жалко бездомных собак это прямая дорога
1,2,грусть
1,1,гсп
1,1,гугл
1,5,да
1,2,да или нет
1,1,да нет да нет да нет да нет да нет да нет
1,1,да ничего
1,2,да хаханьки
1,3,давай
1,1,давай быстрей
1,1,давай давай говори быстрее чего-нибудь свет включи свет выключи свет
1,2,давай дружить
1,1,давай поговорим
1,1,давай поговорим давай поговорим
1,1,давай поиграем
1,1,давай поиграем вместе
1,1,давай пообщаемся
1,1,давай разговаривать
1,1,давай с тобой поболтаем
1,1,давай теперь
1,1,давай теперь века
1,1,давай теперь вика
1,1,давай уже
1,2,давай я
1,2,давай я спасибо
1,1,давай я спать
1,1,дай
1,3,дай мне
1,1,дамы и господа
1,1,данчик блондин
1,2,дармина
1,5,дарья
1,1,дастер
1,3,дастиш фантастиш
1,5,даша
1,2,даша делает ногти
