group,name,radius
1,i love,10
1,illuminate,20
1,ipad,10
1,iphone,30
1,iso,10
1,kawasaki,10
1,lebedev,10
1,lebedev lebedev,10
1,lebedev lebedev lebedev,20
1,little,10
1,ln,20
1,lol lol lol,10
1,low,10
1,lucky,40
1,lupus,10
1,lupus est,10
1,mai tai,10
1,mail,20
1,minecraft,10
2,imango,10
2,imango владикавказ,20
2,iphone,10
2,is,10
2,java,40
2,jessica,10
2,jessica jay,10
2,jessica jessica,10
2,lyrics,10
2,mail,30
2,mail.ru,10
2,moscow never,10
2,moscow never slips,20
2,navi,20
3,minebuilder,10
3,minecraft,60
3,mobi,10
3,mobile,10
3,modus in rebus,30
3,my name is kate,20
3,my name is kay,10
3,nestor,10
3,nic.ru,10
3,nissan,10
3,nissan валют,10
3,ok google,20
3,ololo,20
3,one,10
3,one love,20
3,opel,10
3,opel москва,10
3,oracle,10
3,oracle я найду,20
3,oracle я найду работу,10
3,oracle я не дура,10
3,outlander,10
3,passenger,10
3,passenger cruise,10
3,pdalife,20
3,pedix она не,10
3,pedix она не поехал,10
3,pencil,20
3,princess,10
3,quadrocopter,20
3,quadrocopter зинаида ярославль,20
3,rgg,10
3,rggu,60
3,rggu ты нравишься,10
3,rgsu,20
3,rgsu убью,40
3,roundsound саунд,20
3,route,10
3,roy jones,10
3,rudn,20
3,rutaobao,10
3,rutra,20
3,s600,10
3,sancta simplicitas,30
3,sanctus,10
3,saqme.ge,10
3,seasonvar,10
3,selena,30
3,silentium,30
3,simocode,20
4,happy dog south,10
4,hello,140
4,htc,10
4,htc ноября прошли боли,10
4,igora одна нога,10
4,igora одна нога короче,10
4,igora одна нога короче другой,10
4,igora одна ночь,10
4,impala,10
4,inna amazing,10
4,iphone,20
4,is,10
4,java,20
4,kixbox,10
4,live,10
4,live life,10
4,logitech,10
4,mac,10
4,mail,100
4,mail.ru,10
4,maps,10
4,marca.es,10
4,marcoserv,20
4,mark 2,10
4,mark озерки будущее,10
4,maxwell,10
4,megaseven,20
4,mimoza,20
4,missing you,10
4,mordekaiser ты будешь,10
4,more,10
4,mortal,10
4,moscow city,20
4,mp3,10
4,my name,10
4,my name is,10
4,nero,20
4,ok,30
4,ok google,100
4,ok google как развести,20
4,opel,20
4,oracle,10
4,outlook,20
4,outlook лысый,10
4,piratebay,10
4,platform,10
4,popcap,10
4,princess,20
4,qaxcac,10
4,qaxqaxa,20
4,radmin,10
5,ihop,30
5,in english,30
5,in english please,20
5,ingate,20
5,ios,10
5,ipad,10
5,iphone,10
5,iphone 4,10
5,iptv.ge,10
5,isabel,10
5,jack,10
5,jack johnson,20
5,jack jones,10
5,java,10
5,johnson,10
5,junior,10
5,kale,10
5,kokorin,10
5,lana banana power,10
5,lana lana марихуана,10
5,legal,10
5,live tv,20
5,lolking,10
5,mac,10
5,mail,20
5,mail.ru,10
5,mazda 3 club,30
5,mazda цена,20
5,mazda цена через боль,10
5,media markt,10
5,megogo,10
5,meshgrid,30
5,metropol,10
5,mg,10
5,minecraft,30
5,muzmo.ru,20
5,mz,40
5,mz у микрофона,20
5,neo,20
5,new market,20
5,newmine,10
5,nikon,10
5,nokia,10
6,it is not load,10
6,italian,10
6,italiano,10
6,ivi,10
6,java,20
6,jessica hollister,10
6,jetem,10
6,job,10
6,land rover,20
6,linux,30
6,liza hotel,10
6,locker room,20
6,luxury,30
6,luxury gold,10
6,luxury village,30
6,mac,10
6,magic,40
6,magic mouse,20
6,magic push,20
6,mail,60
6,mazda 3,10
6,mexx mexx,20
6,michael,10
6,microsoft,30
6,mineclub not work,10
6,mineclub note,10
6,mineclub.ru,10
6,minecraft,10
6,minecraft not work,10
6,mipko,20
6,mix,20
6,moscow,20
6,mouse,10
6,my my,10
6,navi,10
6,nirvana.fm,10
6,nirvana.fm фан,10
6,now,20
6,ok,20
6,ok go,10
6,ok google,150
6,ok google как ты работаешь,20
6,ok google как это работает,20
6,one direction,20
6,oracle,20
6,paloma,10
6,party hard,20
6,patris et filii,10
6,patris et filii et,10
6,perdetu пропущенную казань,10
6,perdetu пропущу,10
6,perdetu пропущу много,10
7,google переводчик,10
7,gothic game,10
7,he is,20
7,he is my brother,20
7,hello,30
7,hello hello,20
7,home,10
7,horizon,20
7,i love you,10
7,imac,10
7,impreza не,10
7,impreza не получил,10
7,impreza не получила,10
7,impreza не получилось,10
7,impreza не получилось corolla,10
7,impreza не получится,10
7,inno3d,10
7,instagramers,10
7,iobit я,10
7,iso,20
7,japan,10
7,jeep,10
7,jeep cherokee,10
7,kawaii,10
7,keygen есть,10
7,lg,20
7,love,10
7,love you,20
7,mail,50
7,mail.ru,10
7,mailchimp,10
7,man united,20
8,gipsy baby come,20
8,gipsy бетокам,10
8,go,10
8,gog.com,10
8,gold cobra,50
8,google,10
8,great britain,10
8,halo,10
8,hell париж,10
8,hello,30
8,help,10
8,helper,10
8,house,20
8,icon,10
8,in vino,10
8,in vino veritas,30
8,inception,20
8,install,10
8,inwin,10
8,ios,10
8,iphone,10
8,irobot,10
8,is,10
8,iso,20
10,intel,50
10,intel mkl,10
10,intel mkl тнт,10
10,intel осо,10
10,interdependence,30
10,ios,20
10,ios 6,10
10,ipad,10
10,iphone,120
10,iphone 10,10
10,iphone 10 купить,10
10,iphone 10 купить продать,10
10,iphone 10 купить продать подарить,10
10,iphone 6,10
10,iphone 6 за лучший костюм,20
10,iq,10
10,irobot,10
10,italian man,20
10,italian men,50
10,italian men лысый,20
10,italiano video studio ksk,10
10,italy,10
10,j,10
10,james goldstein,20
10,jandro,30
10,java,90
10,jazz-jazz,10
10,jd,10
10,jdm,10
10,jenny,10
10,jessica,20
10,jessica nigri,30
10,job,30
10,john frieda,10
10,john давай,20
10,john давай встретимся,10
10,john давай встретимся в,10
10,john давай встретимся в 7:00,10
10,john давай встретимся в 7:00 у меня,10
10,julia p,10
10,jv.ru,10
10,kambodge,10
10,karcher,10
10,keccak hiace,10
10,ketevan,20
10,kiesza,10
10,king george oliver,10
10,king george oliver завтра,10
10,king george oliver я красивая,20
10,king george oliver я красивый,10
10,kit kat kit или как,10
10,kitkat,20
10,kitkat аппетит или как,10
10,kkkk kkkk,10
10,kkkkkk,10
10,kkkkkk отгадка отгадка,10
10,kombat,10
10,krovostok,10
10,kz,10
10,lada niva,10
10,lada priora,10
10,lady,10
10,lady gaga,20
10,lamoda,10
10,lamoda.ru,10
10,lan,10
10,land,10
10,launch.ica,20
10,launch.ica вставить,20
10,launch.ica вставить писюнчик,10
10,launch.ica сталь,10
10,launchy кусто,10
10,led,20
10,led витрин,10
10,lenovo,20
10,lenovo поливинилацетат,10
10,lesson lesson,20
10,lesya,10
10,let my fire,10
10,lg,20
10,lietuva,30
10,lietuva tevyne musu,20
10,lietuva tevyne musu друзьями,10
10,lietuva tevyne musu тутбери,10
10,lietuva tevyne musu тутберидзе,10
10,life,10
10,like,10
10,like putin,10
10,live mail,10
10,lm,20
10,london is the capital,10
10,london is the capital of,10
10,london is the capital of great,20
10,london is the capital of great britain,40
10,looma.ru ты,30
10,loong,20
10,louboutin,10
10,lounge,10
10,love,90
10,low,10
10,luke skywalker,20
10,lumion,20
10,mac,10
10,mac os как света,10
10,mac os как светоч дивный,10
10,mail,340
10,mail.ru,80
10,maillet,10
10,maps,10
10,marg0,20
10,marg0 павлович,10
10,marga marga,10
10,marga marga marga marga,10
10,marga marga marga marga я сплю,20
10,mark 2,10
10,mark group,10
10,mars 7,10
10,mars travel,20
10,mars travel очень плохо,10
10,mars travel очень плохо все очень плохо,20
10,mary mary,20
10,mary way,10
10,mary winter,20
10,marzocco,10
10,mashup,10
10,matiz,20
10,matiz тему,10
10,mazda,10
10,mccracken,20
10,mcdonalds,20
10,md,10
10,mdma,10
10,men,20
10,menarini,10
10,menarini ооо мария,10
10,mercedes,20
10,mercedes 300,10
10,mercy,10
10,meridien,10
10,mg,10
10,microsoft,10
10,miley cyrus может,10
10,miley cyrus может каждый,10
10,mimoza,10
10,minarelli аомори,10
10,minarelli ооо,10
10,minecraft,110
10,minion rush,10
10,mmorpg,10
10,modern house,10
10,mods,20
10,money,10
10,more,10
10,morgan morgan,10
10,morrowind,30
10,mortal kombat,10
10,moscow never,10
10,moscow never sleep,10
10,mother,20
10,mp3,10
10,musu,20
10,musu tv,10
10,my life,10
10,my life mail.ru,10
10,my life mp3,10
10,my name,10
10,my name is,10
10,my name is me,10
10,my name is mine,10
10,my name is my name,30
10,my name is майонез,10
10,mystery,10
10,narcolepsy,10
10,nasa ufo,20
10,nasa ufo инопланетяне,20
10,nasty gal,10
10,navitel,30
10,nebo7,10
10,neff,10
10,neo,40
10,neo ты избранный,30
10,nero,10
10,never,10
10,new people николсон,10
10,nexus,10
10,nigri,10
10,nike,10
10,nikon,20
10,nina ricci леау,10
10,no more,10
10,nobis,10
10,nokia,20
10,not at all,10
10,not found,70
10,not found error not found,10
10,not found error not found not found,10
10,not found error not found not found error not found,10
10,not found error not found not found not found not found,10
