group,name,Counter,radius
1,adastra,2,4.0
1,aloha,3,6.0
1,contemporary,3,6.0
1,don't worry be happy,3,6.0
1,e3,2,4.0
1,e34,2,4.0
1,good,2,4.0
1,google,2,4.0
1,hello,2,4.0
1,homo homini,2,4.0
1,illuminate,2,4.0
1,iphone,3,6.0
1,lebedev lebedev lebedev,2,4.0
1,ln,2,4.0
1,lucky,4,7.0
1,mail,2,4.0
1,nintendo,3,6.0
1,ok google,4,7.0
1,open server,2,4.0
1,oracle,4,7.0
1,putana,2,4.0
1,rgsu.ru,3,6.0
1,stetson пенанг,2,4.0
1,suek,2,4.0
1,twitter,2,4.0
1,welcome,2,4.0
1,wow,3,6.0
1,zopo,3,6.0
1,а,3,6.0
1,августин,3,6.0
1,ай нанэ нанэ,2,4.0
1,ака,2,4.0
1,алекс,3,6.0
1,александр,13,13.0
1,александров,3,6.0
1,алена,3,6.0
1,алеша,3,6.0
1,алеша алеша,2,4.0
1,алеша алеша алеша,2,4.0
1,али,2,4.0
1,алиса,6,9.0
1,алло,6,9.0
1,америка,2,4.0
1,ангел,3,6.0
1,ангелы,2,4.0
1,андрей,8,10.0
1,андрей тварь,2,4.0
1,анечка,3,6.0
1,анфиса,4,7.0
1,аня,2,4.0
1,арзамас арзамас,2,4.0
1,арзамас арзамас арзамас,3,6.0
1,арина,2,4.0
1,арсений,5,8.0
1,арсений арсений,2,4.0
1,асахи,3,6.0
1,ассенизатор,3,6.0
1,ассертивность,3,6.0
1,ахахахаха,2,4.0
1,аэлита,3,6.0
1,б****,3,6.0
1,ба,4,7.0
1,баклажан,3,6.0
1,бег,2,4.0
1,бегите глупцы,2,4.0
1,бицуха,4,7.0
1,болт,5,8.0
1,бугагашенька,6,9.0
1,будет,3,6.0
1,бум,2,4.0
1,было такое,3,6.0
1,быстро,6,9.0
1,быстро очень очень очень быстро закончились,2,4.0
1,в,3,6.0
1,в глаза,2,4.0
1,в глаза посмотри,2,4.0
1,в метро,2,4.0
1,в чем смысл,2,4.0
1,в чем смысл жизни,4,7.0
1,ваз,3,6.0
1,вениамин,3,6.0
1,веселая,3,6.0
1,вика,3,6.0
1,включите свет,3,6.0
1,владивосток,2,4.0
1,во сколько,2,4.0
1,во сколько нам,2,4.0
1,во сколько нам открытий,4,7.0
1,во сколько нам открытий чудных,2,4.0
1,водка,2,4.0
1,волшебно,2,4.0
1,волшебный,3,6.0
1,восторг,2,4.0
1,вот и поговорили,2,4.0
1,вот так,2,4.0
1,все,6,9.0
1,все будет,2,4.0
1,все будет хорошо,2,4.0
1,все на вечеринку,3,6.0
1,все по полной,3,6.0
1,все понимаешь,2,4.0
1,всем,2,4.0
1,всем спасибо все свободны,2,4.0
1,вы все,2,4.0
1,вы все умрете,2,4.0
1,вы находитесь в центре вселенной,2,4.0
1,выставку,2,4.0
1,гадюки,2,4.0
1,гадюкино,6,9.0
1,галактика,2,4.0
1,галерея,2,4.0
1,гарри поттер,3,6.0
1,гаспарян,2,4.0
1,где,2,4.0
1,где нужно говорить,2,4.0
1,где я,2,4.0
1,глаза,2,4.0
1,глаза выколупывать,2,4.0
1,глазовыколупывательница,4,7.0
1,глобализация,2,4.0
1,говорить,4,7.0
1,год,4,7.0
1,голубой,2,4.0
1,горизонт событий,3,6.0
1,городецкая,2,4.0
1,гороскоп на завтра,2,4.0
1,горький,2,4.0
1,горький парк,2,4.0
1,грек,2,4.0
1,громко,2,4.0
1,громче сказать,2,4.0
1,грусть,2,4.0
1,да,5,8.0
1,да или нет,2,4.0
1,да хаханьки,2,4.0
1,давай,3,6.0
1,давай дружить,2,4.0
1,давай я,2,4.0
1,давай я спасибо,2,4.0
1,дай мне,3,6.0
1,дармина,2,4.0
1,дарья,5,8.0
1,дастиш фантастиш,3,6.0
1,даша,5,8.0
1,даша делает ногти,2,4.0
1,дед мороз,2,4.0
1,делает ногти,2,4.0
1,денег нет,3,6.0
1,деньги,2,4.0
1,диана дура,2,4.0
1,дима,19,14.0
1,дима ба,9,11.0
1,дима бах,2,4.0
1,дима билан,5,8.0
1,дима м****,6,9.0
1,дима мудачок,2,4.0
1,дмитрий,4,7.0
1,дмитрий мудачок,2,4.0
